# QUAL, Stats by quality:
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	79	4516	2685	1764	3435
QUAL	0	80	8576	5456	3060	3815
QUAL	0	81	3380	1840	1472	3300
QUAL	0	82	4676	2751	1874	3283
QUAL	0	83	9016	5674	3299	3788
QUAL	0	84	3395	1874	1456	3296
QUAL	0	85	4994	3003	1921	3373
QUAL	0	86	9592	6067	3477	3935
QUAL	0	87	3597	1990	1547	3361
QUAL	0	88	5470	3279	2122	3556
QUAL	0	89	10332	6602	3673	4427
QUAL	0	90	3842	2085	1670	4606
QUAL	0	91	4677	2771	1827	3415
QUAL	0	92	11930	7717	4103	4234
QUAL	0	93	3637	2104	1479	3577
QUAL	0	94	4331	2532	1749	3547
QUAL	0	95	12813	8404	4348	4886
QUAL	0	96	3918	2318	1517	3963
QUAL	0	97	4476	2610	1798	3652
QUAL	0	98	13606	8947	4610	4656
QUAL	0	99	4113	2405	1643	3760
QUAL	0	100	4708	2750	1890	4122
QUAL	0	101	13714	8906	4765	4859
QUAL	0	102	4380	2588	1729	4092
QUAL	0	103	4993	2972	1948	4156
QUAL	0	104	14265	9347	4858	5067
QUAL	0	105	4891	2919	1916	4838
QUAL	0	106	5280	3185	2045	4088
QUAL	0	107	14456	9484	4928	5432
QUAL	0	108	5863	3609	2195	5898
QUAL	0	109	6054	3767	2215	4833
QUAL	0	110	14913	9769	5094	5773
QUAL	0	111	6709	4114	2529	4938
QUAL	0	112	7312	4645	2612	5409
QUAL	0	113	15185	9896	5240	6141
QUAL	0	114	8445	5224	3166	4397
QUAL	0	115	8635	5425	3146	4424
QUAL	0	116	16941	11178	5710	5335
QUAL	0	117	11646	7521	4070	6562
QUAL	0	118	12584	8114	4422	5001
QUAL	0	119	21731	14568	7112	6226
QUAL	0	120	17892	11788	6056	6759
QUAL	0	121	20139	13321	6772	8011
QUAL	0	122	30342	20287	10004	12032
QUAL	0	123	29816	20047	9727	26289
QUAL	0	124	38784	25933	12799	2763
QUAL	0	125	49846	33624	16194	3009
QUAL	0	126	61352	41468	19845	2863
QUAL	0	127	89084	60358	28678	3550
QUAL	0	128	145580	99120	46409	2667
QUAL	0	129	314743	213857	100823	2434
QUAL	0	130	4792	2873	1858	2429
QUAL	0	131	6962	4382	2533	2577
QUAL	0	132	4610	2766	1784	2472
QUAL	0	133	8084	4795	3244	2527
QUAL	0	134	4359	2729	1586	2668
QUAL	0	135	2154	1242	868	2636
QUAL	0	136	2486	1446	981	2510
QUAL	0	137	3736	2370	1306	2643
QUAL	0	138	2345	1368	929	2663
QUAL	0	139	2918	1778	1100	2655
QUAL	0	140	3468	2127	1291	2704
QUAL	0	141	2457	1443	967	2805
QUAL	0	142	3183	1858	1269	2582
QUAL	0	143	3332	2046	1223	2619
QUAL	0	144	2697	1619	1035	2828
QUAL	0	145	3731	2287	1389	2591
QUAL	0	146	3053	1875	1132	2660
QUAL	0	147	2938	1763	1133	2641
QUAL	0	148	4131	2546	1549	2602
QUAL	0	149	3211	1913	1249	2573
QUAL	0	150	3346	2003	1296	2933
QUAL	0	151	4907	2992	1863	2631
QUAL	0	152	3305	2001	1256	2535
QUAL	0	153	3800	2309	1440	2734
QUAL	0	154	5849	3694	2113	2608
QUAL	0	155	4015	2421	1535	2475
QUAL	0	156	5425	3402	1970	2850
QUAL	0	157	4443	2783	1608	2496
QUAL	0	158	4257	2651	1554	2578
QUAL	0	159	6162	3876	2236	2898
QUAL	0	160	4794	2991	1755	2537
QUAL	0	161	4769	2991	1704	2573
QUAL	0	162	7238	4694	2473	3027
QUAL	0	163	5033	3201	1781	2502
QUAL	0	164	5393	3404	1947	2692
QUAL	0	165	8564	5454	3046	3134
QUAL	0	166	5423	3385	1979	2575
QUAL	0	167	6011	3704	2249	2516
QUAL	0	168	9610	6194	3350	3444
QUAL	0	169	5626	3549	2020	2471
QUAL	0	170	6852	4357	2430	2467
QUAL	0	171	10861	7091	3704	3163
QUAL	0	172	6065	3789	2205	2553
QUAL	0	173	7675	4929	2697	2723
QUAL	0	174	12087	7856	4181	3753
QUAL	0	175	6247	4041	2163	2522
QUAL	0	176	8199	5319	2843	2513
QUAL	0	177	13366	8756	4571	3479
QUAL	0	178	6267	4005	2225	2617
QUAL	0	179	7790	5050	2696	2968
QUAL	0	180	15982	10587	5355	3339
QUAL	0	181	6635	4247	2356	2491
QUAL	0	182	8068	5173	2849	2681
QUAL	0	183	17797	11996	5762	3456
QUAL	0	184	6829	4439	2354	2753
QUAL	0	185	8177	5330	2813	2305
QUAL	0	186	19095	12785	6273	3295
QUAL	0	187	7296	4732	2520	2295
QUAL	0	188	8410	5473	2888	2532
QUAL	0	189	19881	13398	6449	3319
QUAL	0	190	7196	4673	2487	2307
QUAL	0	191	8811	5721	3040	2685
QUAL	0	192	19827	13382	6402	3691
QUAL	0	193	7375	4835	2491	2387
QUAL	0	194	8731	5729	2966	2396
QUAL	0	195	19582	13126	6418	3312
QUAL	0	196	7486	4818	2641	2397
QUAL	0	197	8807	5744	3027	2682
QUAL	0	198	19257	12987	6229	3534
QUAL	0	199	7786	5102	2640	2923
QUAL	0	200	9166	6030	3104	3377
QUAL	0	201	18921	12806	6086	4160
QUAL	0	202	8820	5790	2991	4159
QUAL	0	203	10323	6851	3434	4606
QUAL	0	204	19342	12894	6399	8484
QUAL	0	205	10073	6688	3347	1698
QUAL	0	206	12400	8322	4045	1618
QUAL	0	207	20888	13960	6889	2168
QUAL	0	208	13587	9065	4487	1614
QUAL	0	209	16719	11222	5459	1631
QUAL	0	210	25127	16873	8216	2027
QUAL	0	211	21519	14437	7048	1615
QUAL	0	212	25368	17042	8290	1580
QUAL	0	213	36743	24972	11724	1981
QUAL	0	214	39530	26631	12862	1524
QUAL	0	215	53953	36456	17463	1637
QUAL	0	216	86153	58138	27983	1935
QUAL	0	217	2999	1888	1072	1637
QUAL	0	218	3292	2119	1144	1571
QUAL	0	219	7157	4794	2329	1838
QUAL	0	220	2635	1651	952	1648
QUAL	0	221	3012	1979	994	1573
QUAL	0	222	6246	4164	2044	1905
QUAL	0	223	2562	1651	883	1599
QUAL	0	224	2791	1791	971	1566
QUAL	0	225	5790	3779	1965	1860
QUAL	0	226	2608	1625	950	1639
QUAL	0	227	2722	1731	953	1508
QUAL	0	228	5585	3643	1914	1860
QUAL	0	229	2396	1482	881	1563
QUAL	0	230	2762	1745	985	1542
QUAL	0	231	5630	3748	1854	1898
QUAL	0	232	2536	1582	914	1602
QUAL	0	233	2827	1717	1073	1515
QUAL	0	234	5579	3674	1874	1982
QUAL	0	235	2557	1565	962	1581
QUAL	0	236	3113	1958	1119	1494
QUAL	0	237	5858	3825	2007	1935
QUAL	0	238	2731	1727	969	1589
QUAL	0	239	3292	2022	1240	1515
QUAL	0	240	6334	4182	2119	2097
QUAL	0	241	3009	1843	1133	1556
QUAL	0	242	3608	2282	1295	1515
QUAL	0	243	7021	4566	2420	2052
QUAL	0	244	3191	2038	1122	1543
QUAL	0	245	4177	2720	1426	1541
QUAL	0	246	7802	5111	2663	2113
QUAL	0	247	3547	2221	1288	1568
QUAL	0	248	4533	2935	1557	1482
QUAL	0	249	8574	5667	2868	2232
QUAL	0	250	4117	2714	1381	1520
QUAL	0	251	5275	3445	1796	1507
QUAL	0	252	9635	6334	3262	2199
QUAL	0	253	4618	2994	1593	1476
QUAL	0	254	6275	4065	2183	1473
QUAL	0	255	10602	7115	3471	2197
QUAL	0	256	4984	3225	1733	1413
QUAL	0	257	7001	4575	2404	1471
QUAL	0	258	11840	7956	3860	2202
QUAL	0	259	5504	3560	1927	1337
QUAL	0	260	7906	5175	2706	1440
QUAL	0	261	12679	8427	4228	2237
QUAL	0	262	6115	3960	2128	1409
QUAL	0	263	8695	5792	2881	1361
QUAL	0	264	14095	9394	4682	2174
QUAL	0	265	6712	4375	2312	1336
QUAL	0	266	9496	6372	3093	1362
QUAL	0	267	14728	9858	4844	2172
QUAL	0	268	6800	4469	2312	1210
QUAL	0	269	9755	6477	3248	1364
QUAL	0	270	16932	11333	5584	2155
QUAL	0	271	7070	4715	2331	1242
QUAL	0	272	9808	6533	3257	1262
QUAL	0	273	17976	12199	5754	2044
QUAL	0	274	7240	4851	2365	1115
QUAL	0	275	9991	6692	3278	1191
QUAL	0	276	18502	12616	5862	2008
QUAL	0	277	7259	4900	2324	1120
QUAL	0	278	10194	6767	3405	1200
QUAL	0	279	18652	12587	6051	1740
QUAL	0	280	7185	4868	2295	1030
QUAL	0	281	10040	6739	3283	1056
QUAL	0	282	18138	12317	5793	1721
QUAL	0	283	6919	4584	2305	960
QUAL	0	284	9903	6645	3243	964
QUAL	0	285	17397	11795	5581	1592
QUAL	0	286	6574	4366	2189	965
QUAL	0	287	9239	6169	3046	948
QUAL	0	288	16475	11062	5393	1508
QUAL	0	289	5978	4000	1966	873
QUAL	0	290	8370	5612	2736	930
QUAL	0	291	15191	10221	4947	1418
QUAL	0	292	5642	3783	1836	864
QUAL	0	293	7968	5360	2587	901
QUAL	0	294	13901	9438	4452	1372
QUAL	0	295	5107	3466	1627	809
QUAL	0	296	7384	4902	2461	804
QUAL	0	297	12513	8530	3960	1367
QUAL	0	298	4772	3208	1548	820
QUAL	0	299	6558	4381	2164	828
QUAL	0	300	11529	7815	3705	1223
QUAL	0	301	4221	2794	1405	792
QUAL	0	302	6086	4096	1979	705
QUAL	0	303	10467	7067	3380	1283
QUAL	0	304	3985	2626	1345	845
QUAL	0	305	5745	3772	1957	655
QUAL	0	306	9595	6438	3143	1285
QUAL	0	307	3654	2371	1271	818
QUAL	0	308	5335	3471	1853	695
QUAL	0	309	9084	6182	2882	1259
QUAL	0	310	3533	2267	1252	773
QUAL	0	311	5265	3462	1774	721
QUAL	0	312	8931	5958	2959	1271
QUAL	0	313	3460	2256	1193	770
QUAL	0	314	5214	3423	1772	676
QUAL	0	315	8769	5847	2903	1280
QUAL	0	316	3493	2243	1233	831
QUAL	0	317	5251	3412	1826	678
QUAL	0	318	8971	5963	2987	1306
QUAL	0	319	3446	2219	1206	801
QUAL	0	320	5403	3610	1772	687
QUAL	0	321	9303	6278	3009	1310
QUAL	0	322	3523	2297	1209	774
QUAL	0	323	5548	3612	1924	617
QUAL	0	324	9724	6503	3204	1336
QUAL	0	325	3756	2384	1358	795
QUAL	0	326	5693	3710	1971	640
QUAL	0	327	10345	6942	3380	1351
QUAL	0	328	3840	2561	1267	808
QUAL	0	329	5847	3890	1944	627
QUAL	0	330	10744	7207	3528	1249
